ID,Address,Name,Latitude,Longitude,Radius,Tags,Notes,Type,External IDs
276885432,"256 SE BEECH ST, LAKE CITY, 32025",EASTSIDE ELEMENTARY SCH,30.184666,-82.606534,250,Freedom Fresh,,Normal Geofence,
276885433,"1201 SE 5/45 TERRACE, GAINESVILLE, 32641",EASTSIDE HIGH SCHOOL,29.639894,-82.317853,250,Freedom Fresh,,Normal Geofence,
276883580,"1500 AARON AVE, ORLANDO, FL, 32811",ECCLESTON ELEMENTARY,28.525393,-81.433049,250,Freedom Fresh,,Normal Geofence,
276883581,"3100 EDGEWATER DR, ORLANDO, FL, 32804",EDGEWATER HIGH,28.580875,-81.393735,250,Freedom Fresh,,Normal Geofence,
276885434,"513 SE 8TH ST, OCALA, 34471",EIGHTH STREET ELEMENTAR,29.180911,-82.132635,250,Freedom Fresh,,Normal Geofence,
276885435,"404 EMERALD RD, OCALA, 34472",EMERALD SHORES ELEMENTA,29.082064,-82.00631,250,Freedom Fresh,,Normal Geofence,
276883582,"13501 BALCOMBE RD, ORLANDO, FL, 32837",ENDEAVOR ELEMENTARY,28.36895,-81.397875,250,Freedom Fresh,,Normal Geofence,
276883583,"5985 LA COSTA DR, ORLANDO, FL, 32807",ENGELWOOD ELEMENTARY,28.529493,-81.303997,250,Freedom Fresh,,Normal Geofence,
276883584,"4949 SILVER STAR RD, ORLANDO, FL, 32808",EVANS HIGH,28.578969,-81.448675,250,Freedom Fresh,,Normal Geofence,
276885436,"3415 ZILLAH RD, TALLAHASSEE, 32301",FAIRVIEW MIDDLE SCHOOL,30.398843,-84.267702,250,Freedom Fresh,,Normal Geofence,
276885437,"GAMBLE ST AND MARTIN L KING, TALLAHASSEE, 32307",FAMU DEVELOPMENT RESEARCH,30.430898,-84.285585,250,Freedom Fresh,,Normal Geofence,
276885438,"4200 NW 89TH PL, OCALA, 34482",FESSENDEN ELEMENTARY,29.280082,-82.190709,250,Freedom Fresh,,Normal Geofence,
276885439,"303 NW JOHNSON ST, LAKE CITY, 32055",FIVE POINTS ELEMENTARY,30.216913,-82.641458,250,Freedom Fresh,,Normal Geofence,
276885440,"207 SAN MARCO AVE, ST AUGUSTINE, 32084",FL SCHOOL FOR DEAF & BL,29.913383,-81.321396,250,Freedom Fresh,,Normal Geofence,
276885441,"3039 EAST HIGHWAY 100, BUNNELL, 32110",FLAGLER COUNTY FOOD SER,29.468301,-81.31167,250,Freedom Fresh,,Normal Geofence,
276885442,"5500 EAST HIGHWAY 100, PALM COAST, 32164",FLAGLER PALM COAST HIGH,29.476552,-81.211034,250,Freedom Fresh,,Normal Geofence,
276885443,"3000 SCHOOLHOUSE RD, TALLAHASSEE, 32311",FLORIDA STATE UNIVERSITY,30.384187,-84.22297,250,Freedom Fresh,,Normal Geofence,
276883585,"8101 BENRUS ST, ORLANDO, FL, 32827",FNS ADMIN OFFICE,28.449003,-81.344967,250,Freedom Fresh,,Normal Geofence,
276883586,"8101 BENRUS ST, ORLANDO, FL, 32827",FNS CATERING DEPT,28.449003,-81.344967,250,Freedom Fresh,,Normal Geofence,
276885445,"4000 NE W ANTHONY RD, OCALA, 34470",FORDHAM EARLY LEARNING AC,29.227546,-82.142441,250,Freedom Fresh,,Normal Geofence,
276885446,"5000 SE MARICAMP RD, OCALA, 34480",FOREST HIGH,29.1382,-82.066761,250,Freedom Fresh,,Normal Geofence,
276883587,"6651 CURTIS ST, ORLANDO, FL, 32807",FORSYTH WOODS ELEMENTARY,28.560583,-81.296753,250,Freedom Fresh,,Normal Geofence,
276885447,"15100 BLOUNTSTOWN HWY, TALLAHASSEE, 32310",FORT BRADEN ELEMENTARY,30.438546,-84.514982,250,Freedom Fresh,,Normal Geofence,
276885448,"545 NE 17TH AVE, OCALA, 34470",FORT KING MIDDLE,29.193091,-82.114515,250,Freedom Fresh,,Normal Geofence,
276885449,"16160 NE HWY 315, FORT MCCOY, 32134",FORT MCCOY SCHOOL (K-8),29.384868,-81.97075,250,Freedom Fresh,,Normal Geofence,
276885450,"3800 NW 6 ST, GAINESVILLE, 32609",FOSTER STEPHEN COUNTY ELE,29.688194,-82.331548,250,Freedom Fresh,,Normal Geofence,
